amount,merchant,category,date,notes
68.79,Nordstrom,Education,2024-11-02,Gift
453.05,Apple Store,Transportation,2025-03-05,One-time expense
288.77,Uber,Education,2025-01-15,Emergency expense
13.07,Costco,Groceries,2025-09-12,Gift
477.28,Walmart,Personal,2024-10-23,Weekly purchase
472.69,Airbnb,Healthcare,2025-07-17,Weekly purchase
258.52,PetSmart,Housing,2025-06-27,Gift
29.54,Grubhub,Healthcare,2025-04-03,Weekly purchase
278.37,Shell Gas,Groceries,2024-05-18,Impulse buy
448.24,PetSmart,Food,2025-01-09,
364.35,Amazon,Groceries,2025-07-15,Weekly purchase
44.03,IKEA,Groceries,2025-04-06,Weekly purchase
184.13,Costco,Entertainment,2025-05-11,Gift
169.41,H&M,Housing,2024-03-21,Planned purchase
77.66,Apple Store,Subscriptions,2024-10-08,Impulse buy
344.35,Grubhub,Groceries,2025-11-06,Impulse buy
66.40,Walgreens,Transportation,2025-10-03,Monthly bill
227.10,Costco,Personal,2024-04-16,Monthly bill
333.96,Dominos,Personal,2025-02-22,Recurring charge
400.60,Hilton Hotels,Personal,2024-05-03,Monthly bill
193.19,Delta Airlines,Food,2025-05-01,Gift
192.53,Netflix,Education,2025-06-01,Weekly purchase
350.72,Electric Co,Travel,2025-01-13,Impulse buy
188.22,Blue Cross Health,Travel,2025-08-26,Regular payment
137.24,Starbucks,Travel,2025-06-20,Emergency expense
298.83,Apple Store,Utilities,2024-06-17,
365.85,Electric Co,Subscriptions,2024-01-15,Weekly purchase
303.74,CVS Pharmacy,Personal,2024-01-25,Gift
244.93,Verizon,Healthcare,2025-04-05,
128.45,Lyft,Housing,2025-09-01,One-time expense
121.40,DoorDash,Shopping,2025-05-12,Weekly purchase
426.40,Shell Gas,Food,2025-04-20,Emergency expense
488.93,Netflix,Healthcare,2024-12-02,
336.06,PetSmart,Utilities,2025-12-12,Monthly bill
68.01,Microsoft,Housing,2025-05-09,Regular payment
150.38,Lyft,Shopping,2024-05-06,
331.42,Zara,Housing,2025-01-28,Emergency expense
465.67,Rent Payment,Healthcare,2024-02-12,Planned purchase
432.57,McDonalds,Entertainment,2025-05-28,Monthly bill
38.58,Costco,Entertainment,2025-02-01,Emergency expense
249.74,Home Depot,Personal,2025-06-26,One-time expense
274.00,Dental Care,Travel,2024-11-20,Weekly purchase
176.96,Planet Fitness,Housing,2025-10-19,Regular payment
106.72,Whole Foods,Personal,2025-07-07,Impulse buy
134.04,Blue Cross Health,Food,2025-04-16,Gift
291.45,Planet Fitness,Personal,2025-09-10,Gift
23.39,Delta Airlines,Education,2025-03-26,Monthly bill
205.25,Target,Shopping,2025-10-20,Impulse buy
127.43,Starbucks,Groceries,2025-07-09,Monthly bill
309.15,Comcast Internet,Transportation,2024-06-18,Recurring charge
19.10,Blue Cross Health,Healthcare,2025-01-17,Recurring charge
119.46,Whole Foods,Transportation,2024-07-13,
198.80,Dominos,Food,2024-05-22,Emergency expense
99.56,Home Depot,Subscriptions,2024-08-11,Regular payment
51.73,Amazon,Shopping,2025-02-03,One-time expense
374.64,State Farm Insurance,Personal,2025-06-19,Gift
353.28,Uber,Healthcare,2024-02-12,
454.22,DoorDash,Subscriptions,2025-02-11,Recurring charge
437.75,Walmart,Entertainment,2024-03-28,Gift
367.73,Planet Fitness,Entertainment,2025-03-07,Monthly bill
192.57,Lyft,Subscriptions,2025-04-12,Monthly bill
210.17,Home Depot,Shopping,2025-09-20,Emergency expense
63.85,AT&T,Food,2025-01-01,Weekly purchase
173.66,Delta Airlines,Subscriptions,2025-11-17,Planned purchase
301.88,Delta Airlines,Personal,2024-03-25,Gift
128.40,Water Utility,Personal,2025-05-20,Monthly bill
